Source,Date,sentence1,Category,label
BBC Bangla,23/1/2018, যে দলই আসুক না কেন জিতবো ইনসাল্লা আমরাই,team,positive
BBC Bangla,2018-08-02 00:00:00,অল আউট হ তারাতারি।,team,negative
Prothom Alo,19/1/2018, হাতুরে সিংকে এই প্রথম হাতুড়ি পেটা করা হলো,other,negative
Prothom Alo,2018-10-02 00:00:00,"নিজেদের দলকে গালাগালি ভালো দেখায়না,",other,neutral
Prothom Alo,2018-10-02 00:00:00, স্যার ইমরুল আর স্যার সাব্বির ওরফে ম্যাও ভাই যদি জ্বলে ওঠে তাহলে আমরাই জিতব ।,batting,negative
Prothom Alo,2018-10-02 00:00:00," যেমন নাচতে না জানলে উঠানের দোষ!আসলে প্লেয়ারদের মনের দূর্বলতা,কেমন জানি হাকু হাকু ভাব!",other,negative
Prothom Alo,13/1/2018,আমরা কোন ভালো ব্যাটসম্যান পেলাম না টি টুয়েন্টি দলের জন্য।,batting,negative
Prothom Alo,2018-11-02 00:00:00,"বস ভাল করবে ইটাই আশা করি,দারুন এরজন ব্যাটিং অলরাউন্ডার,",bowling,negative
Prothom Alo,2018-02-08 00:00:00,ক্রিকেট বোর্ড কে যদি দুদকের সম্মুখীন করা হয় এবং সুষ্ঠ ভাবে তদন্ত করা হয় দেখা যাবে যে রাজনৈতিক নেতাদেরকেও হার মানিয়েছে বিসিবির কর্মকর্তারা।,team management,negative
Prothom Alo,2018-07-02 00:00:00,রায়নার থেকে ভারতের টিমে ভালো ব্যাটসম্যান আছে  ধন্যবাদ,batting,negative
Prothom Alo,19/1/2018,বাংলাদেশ জিতার কথা যদি হেরে জায় তাহলে বুজতে হবে এর পিছনে অন্য কারন অাছে।,team,negative
Prothom Alo,2012-08-04 00:00:00,বাংলাদেশ ১৬০ রানে আউট হয়ে যাবে ,team,negative
Prothom Alo,2018-09-01 00:00:00,খেলোয়াড় নির্বাচন অথবা কাউকে বাদ দেবার আগে তিনি ভাবাবেগে আপ্লুত হতেন না।,team management,positive
BBC Bangla,2018-06-04 00:00:00,জয় বাংলা কাপ! তাও আবার স্বাধীনতার মাস মার্চে। যার মাথা থেকে এমন চমৎকার আইডিয়া এসেছে তালে স্যালুট,team,positive
BBC Bangla,30/1/2018,রিয়াদ ভালো অধিনায়ক।। বাট পারফমেন্স অধারাবাহিক।।,batting,positive
Prothom Alo,2018-08-02 00:00:00, এই পিচে রান করা টাফ,batting,negative
Prothom Alo,19/1/2018,জোড়াতালি রান দিয়ে বাংলাদেশ জিতে গেছে,team,negative
Prothom Alo,2018-02-08 00:00:00, সময় এসেছে রাজাকার পিচ কিউরেটর কে পাছায় লাথি দিয়ে বের করার,team management,negative
Prothom Alo,2018-11-02 00:00:00," লক্ষ্য করলে দেখবেন তামিম এখন অনেক ডট দেয়, কিন্তু মুশফিক বা মুমিনুল এরা অতটা ডট বল দেয়না ।",batting,negative
Prothom Alo,2018-08-02 00:00:00,বড় নদী সহজে শুখায়না তারই জ্বলন্ত দৃষ্টান্ত।লালা।,other,positive
Prothom Alo,2018-09-02 00:00:00,খালেদা জিয়ার রায়ে জাতি হতাস।সে সাথে ক্রিকেট দল ও হতাস।তাই সবাই এমন ব্যাট করসে।,other,negative
Prothom Alo,2018-11-02 00:00:00,আশা করি রংপুরের ঘরেই ট্রফি উঠৰে,team,positive
Prothom Alo,2018-10-02 00:00:00,আমাদের কোচ চাই ।,team,negative
Prothom Alo,2018-09-02 00:00:00, কথাটা যদি স্যার সাব্বির বলে থাকে তাহলে হতেও পারে।,other,negative
Prothom Alo,2018-11-02 00:00:00," সেমিফাইনাল , কয়ালিফাইয়ার , ইলিমিনেটর এই সমস্ত ম্যাচের জন্য রিজার্ভ ডে রাখা বাঞ্ছনীয় ।",other,neutral
BBC Bangla,2018-08-02 00:00:00, হুজুগে বাঙালি।হালারা তাকে ভাল খেলছে বলে মাথাই নিয়ে নাছবে আবার কয়েকটা খারাপ খেললে মাথা থেকে ফেলে দিবে।,other,negative
Prothom Alo,2018-10-02 00:00:00, মিঃ ভাওতাবাজিদির কান্ড!,other,negative
Prothom Alo,2018-10-02 00:00:00,সন্মান দিয়ে কথা বলুন,other,negative
Prothom Alo,2018-02-08 00:00:00,টাইম টু ফায়ার আউট গামিনী...ভেরী হাই টাইম,other,negative
Prothom Alo,2018-08-02 00:00:00,অাত্মঘাতী উইকেট গিফট করা জন্ম থেকে এখন পর্যন্ত বাংলাদেশের ব্যাটসম্যান রা করে অাসছে অার জেতা ম্যাচ ফেলে দিচ্ছে তবুও কেন জানি অাপনারা জবাবদিহিতা করেন না!!,batting,negative
Prothom Alo,2018-10-02 00:00:00,তোষার ইমরান তার তো মামা চাচা নেই সে কেমতে দলে আসবে?,batting,negative
Prothom Alo,2018-07-02 00:00:00, ন‌িজ দ‌েশেই বাঘ অার দ‌েশের বাইর‌ে ইদুঁর‌ের চ‌েয়েও ন‌িকৃষ্ট দল‌ের নাম হচ্ছ‌ে বাংলাদ‌ে‌শ।,team,negative
Prothom Alo,2018-11-02 00:00:00, চুদনার ছেলে সাকিব সম্পর্কে কি জানিস *,other,negative
Prothom Alo,2018-08-02 00:00:00,বোলিং পিচ তবে আমাদের ব্যাটসম্যানদের আউটগুলো আত্মহত্যা ছাড়া আর কিছুই নয়।,batting,negative
Prothom Alo,2018-02-08 00:00:00,"না জানে বোলিং,না জানে ব্যাটিং,দোষ উইকেটের,আর দোষ পীচের ! ",team,negative
Prothom Alo,2018-02-08 00:00:00,ক্রিকেট অভিজাত ভদ্রলোকের খেলা।,other,neutral
BBC Bangla,25/1/2018, আমার কাছে মনে হয়েছে এই ম্যাচে সবাই পেশাদারিত্ব নিয়ে খেলে নাই। ,team,negative
Prothom Alo,2018-04-02 00:00:00," ৯৪ রান করে লিটন যখন প্যাভেলিয়নের পথে হাঁটছে,মাত্র ৬ টা রানের জন্য ১ম সেঞ্চুরি মিস",batting,neutral
BBC Bangla,30/1/2018,সবাইকে দায়িত্ব নিতে হবে । আর ভালো খেলতে হবে । খেলায় হার জিত আছে কিন্তু তার মধ্যে খারাপ খেলা চলবে না,team,positive
Prothom Alo,2018-10-02 00:00:00,"আমার মতে বাংলাদেশ ক্রিকেট খেলা বাদ দিক,এতো টাকা নষ্ট করার কি দরকার",team,negative
Prothom Alo,2018-10-02 00:00:00,যুক্তির মায়রে বাপ! !!,other,negative
Prothom Alo,2018-10-02 00:00:00," শ্রীলঙ্কারা আবাল তাই টাইগারদের বুদ্ধির সাথে বুঝে উঠতে পারছে না ,",team,negative
Prothom Alo,2018-10-02 00:00:00,দেখ তোমার সাথে আমি জগড়া করতে আসিনাই! আমার যা জানার তা আমি জানি তুমি মনেহয় একটু বেসি জান!।,other,negative
Prothom Alo,2018-11-02 00:00:00,শুধু তামাশা,other,negative
Prothom Alo,2018-08-02 00:00:00,সবই পাপনের ইচ্ছা,bowling,negative
Prothom Alo,2018-11-02 00:00:00,গুগল সার্চ করে মিনহাজের রানরেট দেখে নিন? এভারেজ ১৪ রানরেট নিয়ে এমন একজন ব্যক্তি কি করে প্রধান নির্বাচক হয়??,team management,negative
Prothom Alo,2018-08-02 00:00:00,সবাই পিচ নিয়ে এত অভিযোগ কেন করছে?!,other,negative
Prothom Alo,2018-02-08 00:00:00," বাংলাদেশ ক্রিকেট দল বাহিরে খেলতে গেলে, কন্ডিশন, আবহাওয়া, কত কিছু বিবেচনা করা লাগে",team,negative
BBC Bangla,2018-08-02 00:00:00,ব্যাট ধরার আগেই তিন জন আউট হাইরে শেখ হাসিনার বাংলাদেশ,other,negative
Prothom Alo,2018-10-02 00:00:00,ভাবের বেলায় উস্তাদ,other,negative
Prothom Alo,2018-10-02 00:00:00,অসাধারণ দায়িত্ব পালন করতে করতে বিশ্বখ্যাত গতিদানব সুজন কাক্কু ক্লান্ত হয়ে পড়েছেন।,team management,negative
Prothom Alo,2018-10-02 00:00:00,দেখার অপেক্ষায় আছি বাংলার কালো বিড়াল এবং বিরাট কোহলির ব্যাটিং কোচ সাব্বির দেখবনে কি করে,other,negative
Prothom Alo,2018-10-02 00:00:00,"পেশাদার ক্রিকেটে অজুহাত খুজবেন না,সেটা ব্যাটিং উইকেট হোক বা স্পিন উইকেট।",other,negative
Prothom Alo,14/10/2017,ম্য - সাব্বির-মুস্তাফিজের মত তাদেরকে অংকুরেই বিনষ্ট না করা হোক।,team,positive
BBC Bangla,2018-08-02 00:00:00," বাংলাদেশ উপেক্ষা করেনি, করেছে হাতুরাসিংহে। ",team,neutral
Prothom Alo,2018-11-02 00:00:00,কত কোচ এল আর গেল কিন্তু আমাদের বোলারগুলারে কেউ ব্যাটসম্যান বানাতে পারলনা।২৬ এভারেজ নিয়ে এই যুগে কেউ টেস্ট ওপেনার!!,team,negative
Prothom Alo,2018-09-02 00:00:00,ঠিকই বলেছেন। তবে কিছু উন্নাসিক ভারতীয় সমর্থকও কম যায় না!,other,neutral
Prothom Alo,2018-10-02 00:00:00, ২ বলে দলীয় গুরুত্বপূর্ণ ১ রান! (মাত্র ৯৯ রানের জন্য সেঞ্চুরি মিস),batting,negative
Prothom Alo,2018-09-02 00:00:00,সুজন একটা মাথামোটা।,team management,negative
Prothom Alo,2018-11-02 00:00:00," ভালো ক্রিকেটার হলেই ভালো নির্বাচক হওয়া যায় না নান্নু ভাই‌,",team,negative
Prothom Alo,23/1/2018,৫০তে খুশি হলে হবেনা ১০০হলে হবে,batting,negative
Prothom Alo,2018-10-02 00:00:00,"সারা বাংলার আলোড়ন সৃষ্টি কারী কেলোয়ার, নবযুগের উদীয়মান কেলোয়ার, আন্তর্জাতিক খ্যাতি সম্পন্ন হার্টহিটার, বোলারের আতংক, বিসিবির অন্যতম কান্ডারি চাব্বির রহমান ম্যাও,",other,negative
Prothom Alo,2018-10-02 00:00:00,খেলা নিয়া উটক্যাল মাছের মতো লাফালাফি বাদ দিছি।,batting,negative
BBC Bangla,29/1/2018,"সাব্বির, নাসির, এনামুল তোমাদের বলছি তোমরা যদি তোমাদের মায়ের বুকের দুধ একফোটা খেয়ে থাকো তাহলে দলে ঢোকার ইচ্ছা প্রকাশ কখনো করবে না",batting,negative
Prothom Alo,2018-10-02 00:00:00,"এখন তো এক্সপেরিমেন্ট এর সময় দল চাপে আছে ভালও, ভুলে গেলেন পুরু সিরিজে অপরাজিত, অতিরিক্ত আত্নবিশ্বাস, লিগের শেষ ম্যাচে শ্রীলংকার সাথে ৫ টি পরিবর্তন, বাকিটা ইতিহাস, আর সেই ইতিহাস এখনো চলছে।",other,negative
Prothom Alo,2018-10-02 00:00:00,"খেলতে পারলে সাব্বাস ,খেলতে না পারলে পুরো বংশেকে ধোয়াস।",other,negative
Prothom Alo,2018-07-02 00:00:00,টেস্টে খুব বিপদজনক বোলিং পিচ করেছিল ৩টার মধ্যে আফ্রিকার কারো ১০০ নাই কোহলি দেখিয়ে দিয়েছে আমার জন্য বোলিং পিচ ১০০ করাও অসম্ভব না।,other,negative
Prothom Alo,2018-10-02 00:00:00,"টাইগার বাহিনীর হারের জন্য,,পিচ কিউরেটর গামিনী ডি সিলভাকে মোটা অংকের টাকা জরিমানা করা হোক.....হেটার্সরা বলবে আমি টাইগার বাহিনীর হয়ে কথা বলছি",team,negative
Prothom Alo,2018-08-02 00:00:00,আসলেই নির্ভার বাজেভাবে আউট হলেও কোনরুপ জবাবদিহিতা করতে হবে না,other,negative
Prothom Alo,2018-09-02 00:00:00,বাল ছিড়বি ওটা বলার লাগবে না,other,negative
Prothom Alo,2018-04-02 00:00:00," খেলা ড্র হয়েছে মুলত কার জন্য? আপনারা সবাই বলছেন মমিনুল, মাহমুদুল্লাহ এবং লিটনের জন্য।",batting,positive
Prothom Alo,2018-09-02 00:00:00,"পরিসংখ্যানে পিছিয়ে আমরা, আত্মবিশ্বাস স্বপ্ন দেখাচ্ছে!",other,negative
Prothom Alo,2018-10-02 00:00:00,"আমরা হারি,কিন্তু হারার কারন খুজি না।",other,negative
Prothom Alo,2018-08-02 00:00:00,জ্বী রূপকথা মনে হবে অাপনাদের । ,other,negative
Prothom Alo,2018-08-02 00:00:00, রাজ্জাক ভাই লাকি!!!,bowling,positive
Prothom Alo,2018-07-02 00:00:00,"আপনারা মিডিয়া ওয়ালারা আজ হাতথুরুর সমালোচনা করছেন, আবার কাল শ্রীলঙ্কা জিতলেই তার প্রসঙসা করা শুরু করে দিবেন",team,negative
Prothom Alo,2018-10-02 00:00:00," হুম ভাই, পীরবাবার কারিশমা ১৬ কোটি জনতা বুঝে, খালি বিসিবি বস বুঝলো না!.",other,negative
Prothom Alo,2018-11-02 00:00:00,নান্নু ভাই আর এরশাদ ভাই এক ভাই এক ভাই!!,team management,negative
Prothom Alo,2018-10-02 00:00:00,ওয়ান ড‌ে এবং টেষ্ট স‌িরিজ‌ে চরম ব্যার্থতার পরও এবার সাব্ব‌ির T20 দল‌ে !!,team,negative
Prothom Alo,2012-08-04 00:00:00,"প্রিয় ক্লাব মোহামেডানকে প্রিয় প্লেয়ার আফতাব আবারও চ্যাম্পিয়ন করাক,,অনেকদিনের শিরোপাখরা কাটুক...আফতাব ভাইয়ের কাছে এই প্রত্যাশা রাখি ",other,negative
Prothom Alo,2018-04-02 00:00:00, মাহমুদুল্লাহ বাংলার ক্রিকেটের ৫ তারার মধ্যে এক তারা,batting,positive
Prothom Alo,2018-10-02 00:00:00, টিম ম্যানেজমেন্ট এ যত বলদ আছে এইগুলারে পরিবর্তন করা দরকার আগে,team management,negative
BBC Bangla,2018-08-02 00:00:00,"রাজ্জাক কে,সবাই ধন্যবাদ দিলেন, আর এই খেলাই,তামিম,মমিনুল,কায়েছ,মুসিকুর তারের কে, কি দেওয়ার উচিত,বলেন",bowling,neutral
Prothom Alo,2018-10-02 00:00:00,.যা সঠিক তাই বলেছি.,other,neutral
Prothom Alo,2018-09-02 00:00:00,সুজন এর মতো গতিদানব (শোয়েব আখতার ও ফেল যার কাছে ) এর চেয়ে ভালো কিছু কি আশা করবো ?,team management,negative
Prothom Alo,2018-10-02 00:00:00,পাঠা বাবুরা যথারীতি হামলে পড়ছে।,other,negative
Prothom Alo,2018-09-02 00:00:00,"নিজেরা খেলার আগেও তাদের বাংলাদেশের খবর নেয়া চাই, হা হা হা।",team,negative
Prothom Alo,2018-07-02 00:00:00,ইমরুল বাদে তিনটা আউট মেনেনিতে পারছিনা ?,other,negative
BBC Bangla,25/1/2018, পাগলামি খেলা খেলেছে টাইগাররা! আশা করি পাপন স্যর বিষয়টা আমলে নিবেন!,team,negative
Prothom Alo,2018-10-02 00:00:00,অাজকে ক্রিকেটর কালো দিন ১৫জন ক্রিকেটার অাত্তহত্যা করেছে,other,negative
Prothom Alo,2018-07-02 00:00:00,সাবেক কোচকে নিয়ে লাফালাফির অনন্য নজির গড়তে চলেছে প্রথম অালো,other,negative
Prothom Alo,2018-10-02 00:00:00,ওরে পাইলে শুধু একটা কথা জিঙ্গাসা করতাম। রিয়েেল টাইগারের কর্ম ক্ষমতা দেখেছিস কি না?,other,negative
Prothom Alo,2018-08-02 00:00:00,রাজ্জাকের অভিজ্ঞতাকে কাজে লাগানো উচিত সামনের অন্তত ২ টা বিশ্বকাপ পর্যন্ত ।,bowling,positive
Prothom Alo,2018-07-02 00:00:00,"সেটা খেলাধুলা, অর্থনৈতিক ও প্রতিরক্ষার বিষয়ে ",other,neutral
Prothom Alo,2018-04-02 00:00:00,একটা প্লেয়ারের খারাপ সময় যেতে পারে তাই বলে তাকে নিয়ে ট্রল করা ঠিক না,team,positive
BBC Bangla,16/1/2018,"ওদের সাম্প্রতিক ফর্ম ও জঘন্য, তাই খুব বড় কোনো অঘটন না ঘটলে বাংলাদেশ ই চ্যাম্পিয়ন হওয়ার কথা",bowling,negative
Prothom Alo,2018-10-02 00:00:00,মিরপুরে দয়া করে মূলা চাষ করেন অার কত এক স্টেডিয়ামে খেলবেন!!,other,negative
Prothom Alo,2018-07-02 00:00:00,২য় টেস্টে ভারত কে কাপিয়ে দিয়েছিল...আর পেলেকাউয়া পেসার বাংলাদেশ সিরিজে বাংলাদেশ কে একাই বাশ দিয়েছিল.,other,negative
Prothom Alo,2018-11-02 00:00:00,রংপুর এতো খরচ করে দল গড়ল এখন ফাইনালে না খেললে কেমন দেখা যায় !!!,team,neutral
Prothom Alo,2018-10-02 00:00:00,তাইলে খেলারই দরকার নাই,other,negative
Prothom Alo,2018-08-02 00:00:00,"পুরানো চাল ভাতে বাড়ে,, এই কথাটা বার বার বিসিবির নির্বাচকরা কেন ভুলে যায় তাই ই বুঝি না",bowling,negative
Prothom Alo,2018-07-02 00:00:00,শুভকামনা রাজ্জাক ভাই।,other,negative
Prothom Alo,2018-09-02 00:00:00,কাল দ্রুত উইকেট ফেলতে না পারলে সাড়ে তিন'শ এমনকি তারও বেশি রানের লিড হয়ে যেতে পারে । ,batting,positive
BBC Bangla,2018-08-02 00:00:00, টাইগার ইজ টাইগার,other,positive
Prothom Alo,2018-10-02 00:00:00,৬৬ ইনিংসে ব্যাট করে ইমরুল রান করেছেন মাত্র ১৬৭৯।,batting,negative
Prothom Alo,2018-02-08 00:00:00,বুঝা উচিত ছিল শ্রীলংকাও উপমহাদেশের..,team,neutral
Prothom Alo,2018-08-02 00:00:00, শুভ কামনা রইলো প্রিয় দল বাংলাদেশ এর জন্য ।,team,positive
Prothom Alo,2018-10-02 00:00:00," গালি না দিয়ে কী করবো এই শুয়রেরবাচ্চাদের,,শ্রীলংকার ২-৩ জন ছাড়া বাকি কারো নাম গন্ধ ও কোনো দিন শুনিনি।",other,negative
Prothom Alo,2018-11-02 00:00:00,বোকা চোদা খেলার কিছু বুঝস শালা পাগল।,other,negative
Prothom Alo,2018-08-02 00:00:00, রাজ্জাকের এলাহি কান্ড না পিচের এলাহি কান্ড,bowling,negative
Prothom Alo,2018-10-02 00:00:00, নির্বাচক নান্নু সাহেব কোথায় জাতী তাকে জাদুঘরে দেখতে চায়,team management,negative
Prothom Alo,2018-10-02 00:00:00,স্যার তামিম ইকবাল ও স্যার মুশফিকুর রহিম। এই দুই স্যার ১০-১২ ধরে জাতীয় দলে খেলা দুই প্লেয়ার।,batting,positive
Prothom Alo,2018-09-02 00:00:00," কোচের কোন দরকার নেই। মাশরাফি,মহমুদুল্লাহ,সাকিব,মুশফিক এরা ছোটদের কে শিখালেই তো হয়",team,negative
Prothom Alo,2018-02-08 00:00:00, আগের দিন নিছস ১০০ কাল নিবি ৮০ তারপর তাড়াতারি বাড়ি চলে যাবি,batting,negative
BBC Bangla,25/1/2018,একজন দক্ষকোচের অভাব।।,team management,negative
Prothom Alo,2018-02-08 00:00:00,এক মাঠে এত খেলা হলে কিউরেটর কিভাবে সব ঠিক রাখবে?? ,other,negative
Prothom Alo,19/1/2018, হারার জন্য রেডি হ,team,negative
Prothom Alo,2018-08-02 00:00:00, সবই উইকেটের কেরামতি ,bowling,negative
Prothom Alo,23/1/2018,একটু ভালো খেললেই অহংকার এসে ভর করে আর তাই পতন এসে ভীর করে।,team,negative
Prothom Alo,2018-06-02 00:00:00, মিরপুরে সাধারনত রান করা একটু কঠিন......,batting,neutral
BBC Bangla,25/1/2018, বাংলাদেশ টিম থেকে চিরতরে আনামুল আর নাসির কে বাদ দেওয়া উচিৎ,batting,negative
Prothom Alo,2018-10-02 00:00:00,আরে ভাই মানলাম ওরা সবাই আবাল।তুমি যদি এতই বাল হও গিয়ে সেনচুরি করে আসতা,other,negative
Prothom Alo,2018-09-02 00:00:00,মমিনুলের রান আউটে জাতি অবাক।,other,negative
Prothom Alo,2018-10-02 00:00:00,"একটা ম্যাচ কিংবা সিরিজ জিতালেই ফ্ল্যাট দাও, বাল দাও-চুল দাও!",other,negative
Prothom Alo,2018-10-02 00:00:00, যতসব দায়িত্বজ্ঞানহীন সিদ্ধান্ত।নির্বাচকদের উটকো সিদ্ধান্ত ও কথাবাত্রার জন্য শাস্তি হওয়া উচিত।,team management,negative
Prothom Alo,2018-09-02 00:00:00,"নাসির, এনামুল, সৌম্য অনেক ভাল করত সাব্বিরের চেয়ে। কি যে খেলে বুঝি না।",batting,neutral
Prothom Alo,2018-02-08 00:00:00,"২য় ইনিংসে বাংলাদেশের কোন ব্যাটসম্যান ৫০ রানের নিচে আউট হলে, তাকে ১ লক্ষ টাকা জরিমানা করা উচিত।",team,negative
Prothom Alo,2018-10-02 00:00:00,"না বুঝলে দায়িত্ত ছেড়ে সরে দাড়া এসব পাগলের মত কথা জাতি শুনতে চাই না,,",team management,negative
Prothom Alo,2018-02-08 00:00:00,হার নিয়া মাঠ থেকে গিয়ে সংবাদ সম্মেলনে কি বলবা সেটা ভাবো বাছা।,other,neutral
Prothom Alo,2018-07-02 00:00:00, হাতুড়‌ের গন্ডার‌ের চামড়া ! ম‌োমিনুল শুধু বলই প‌িটান নাই হাতুড়‌েকেও প‌িটিয়‌েছেন !,team management,negative
Prothom Alo,2018-07-02 00:00:00,হাতুরু কে কিছুদিন পর শ্রীলংকা দলের লোকে পিঠাবে,team,negative
Prothom Alo,2018-08-02 00:00:00, শাহরিয়ার শোভন।।। ওর কাহিনী তো সারাজিবন একই !,batting,negative
Prothom Alo,2018-04-02 00:00:00,মুমিনুল হলো টেস্ট ক্রিকেটের রত্ন। এই রত্নকে অনেক যতন করতে হবে,batting,positive
Prothom Alo,2018-10-02 00:00:00,টেস্টে মাশরাফির কি দোষটা ছিল ? সে তো টেস্ট খেলেই না | এখানেও তাকে টেনে আনতে হবে ?,other,negative
Prothom Alo,2018-08-02 00:00:00, হুম অবশ্যই ভাল খেলোয়ার কে মূল্যায়ন করা উচিত,other,positive
Prothom Alo,2018-11-02 00:00:00,তামিমের স্ট্রাইক রেট খুব বাজে ১০৮.০. সে খুবই ভাল ওপেনার। ,batting,negative
Prothom Alo,23/1/2018,"মিরপুর উইকেট ম্যাজিক ৮২ রানে অলআউট,,বাংলাদেশ,",team,negative
Prothom Alo,2018-07-02 00:00:00,এইরকম একটা খেলোয়ার কবে যে আমাদের হবে??,team,negative
Prothom Alo,2018-02-08 00:00:00,বাঁশ খাব‌ে শালারা তাহল‌েই মজা পাব‌ো অার ক্র‌িকেট ব‌িশ্বও খুশী হব‌ে।,other,negative
Prothom Alo,2018-10-02 00:00:00,"এখন যেগুলা সাংবাদিক হাতুরির সামনে ঠক ঠক করছিলেন,, ওর কাছে আর সহজে জেতে পারবেন না",other,negative
Prothom Alo,23/1/2018,"এই কেমন পিচ """"""! বল তো খেলতে কস্ট হয়ে যাচ্ছে",bowling,negative
Prothom Alo,2018-02-08 00:00:00,জিতলে গামিনি ভালো হারলে খারাপ আজব কাহিনি।,other,negative
Prothom Alo,2018-10-02 00:00:00, ওয়েট..বিড়াল চোখা আর বিড়ালমুখো দুইটা ব্যাটসম্যান ও এখনও ক্রিজে নামেন নাই,batting,negative
Prothom Alo,2018-09-02 00:00:00," হাগলের কামনে বরক হাতাত করি চিন্নি,,,খন,,,,😜,,,,,তোরা বেডা একটা ম্যাচ ভাল খেলি,,,লাফালাফি করচ",other,negative
Prothom Alo,2018-02-08 00:00:00,"হায়রে মন, তবুও একটা মিরাকলের আশায় আছি।",other,negative
Prothom Alo,2018-10-02 00:00:00,জনাব আমিনুল ইসলাম বুলবুল কে প্ৰধান নির্বাচক দেখতে চাই,team management,negative
Prothom Alo,19/1/2018,কোচ কোন বাল ঈ না সেটা প্রমাণ করেছে আমাদের টাইগার রা-,team management,negative
Prothom Alo,2018-08-02 00:00:00,বোলিং পিচ তবে আমাদের ব্যাটসম্যানদের আউটগুলো আত্মহত্যা ছাড়া আর কিছুই নয়।,bowling,negative
Prothom Alo,19/1/2018,"আগের হাল যেমনে যায়, পিছেরটা আগেরটারে দেইখা যায়।",other,negative
Prothom Alo,2018-10-02 00:00:00," শাহরিয়া নাফিজ, তুষার ইমরান এদের নিতে ষুদে",batting,negative
Prothom Alo,2018-10-02 00:00:00,নিজের দেশের মাটিতে এ কেমন খেলা।,team,negative
BBC Bangla,25/1/2018,বাংলাদেশ দলে এই দুই গদর্বকে কেন টিম সিলেক্ট করে আমার মাথায় আসে না,team,negative
